date_entrée,2024-04-30,,montant_€,10000,,btc_futur_usd,70000
"Modifie B1 (date), E1 (montant), H1 (prix BTC futur) pour explorer",,,,,,,
date,btc_close,position,equity_strat_base100,equity_hodl_base100,equity_perso_strat,equity_perso_hodl
2024-09-30,63302.00,1.0,=D103*(1+C103*(B104/B103-1)),=100*B104/B$4,"=IF(A104<$B$1,0,IF(A103<$B$1,$E$1,F103*(1+C103*(B104/B103-1))))","=IF(A104<$B$1,0,IF(A103<$B$1,$E$1,G103*B104/B103))"
2024-10-31,70231.00,1.0,=D104*(1+C104*(B105/B104-1)),=100*B105/B$4,"=IF(A105<$B$1,0,IF(A104<$B$1,$E$1,F104*(1+C104*(B105/B104-1))))","=IF(A105<$B$1,0,IF(A104<$B$1,$E$1,G104*B105/B104))"
2024-11-30,96441.00,1.0,=D105*(1+C105*(B106/B105-1)),=100*B106/B$4,"=IF(A106<$B$1,0,IF(A105<$B$1,$E$1,F105*(1+C105*(B106/B105-1))))","=IF(A106<$B$1,0,IF(A105<$B$1,$E$1,G105*B106/B105))"
2024-12-31,93381.00,1.0,=D106*(1+C106*(B107/B106-1)),=100*B107/B$4,"=IF(A107<$B$1,0,IF(A106<$B$1,$E$1,F106*(1+C106*(B107/B106-1))))","=IF(A107<$B$1,0,IF(A106<$B$1,$E$1,G106*B107/B106))"
2025-01-31,102412.00,1.0,=D107*(1+C107*(B108/B107-1)),=100*B108/B$4,"=IF(A108<$B$1,0,IF(A107<$B$1,$E$1,F107*(1+C107*(B108/B107-1))))","=IF(A108<$B$1,0,IF(A107<$B$1,$E$1,G107*B108/B107))"
2025-02-28,84321.00,1.0,=D108*(1+C108*(B109/B108-1)),=100*B109/B$4,"=IF(A109<$B$1,0,IF(A108<$B$1,$E$1,F108*(1+C108*(B109/B108-1))))","=IF(A109<$B$1,0,IF(A108<$B$1,$E$1,G108*B109/B108))"
2025-03-31,82538.00,1.0,=D109*(1+C109*(B110/B109-1)),=100*B110/B$4,"=IF(A110<$B$1,0,IF(A109<$B$1,$E$1,F109*(1+C109*(B110/B109-1))))","=IF(A110<$B$1,0,IF(A109<$B$1,$E$1,G109*B110/B109))"
2025-04-30,94181.00,1.0,=D110*(1+C110*(B111/B110-1)),=100*B111/B$4,"=IF(A111<$B$1,0,IF(A110<$B$1,$E$1,F110*(1+C110*(B111/B110-1))))","=IF(A111<$B$1,0,IF(A110<$B$1,$E$1,G110*B111/B110))"
2025-05-31,104646.00,1.0,=D111*(1+C111*(B112/B111-1)),=100*B112/B$4,"=IF(A112<$B$1,0,IF(A111<$B$1,$E$1,F111*(1+C111*(B112/B111-1))))","=IF(A112<$B$1,0,IF(A111<$B$1,$E$1,G111*B112/B111))"
2025-06-30,107179.00,1.0,=D112*(1+C112*(B113/B112-1)),=100*B113/B$4,"=IF(A113<$B$1,0,IF(A112<$B$1,$E$1,F112*(1+C112*(B113/B112-1))))","=IF(A113<$B$1,0,IF(A112<$B$1,$E$1,G112*B113/B112))"
2025-07-31,115750.00,1.0,=D113*(1+C113*(B114/B113-1)),=100*B114/B$4,"=IF(A114<$B$1,0,IF(A113<$B$1,$E$1,F113*(1+C113*(B114/B113-1))))","=IF(A114<$B$1,0,IF(A113<$B$1,$E$1,G113*B114/B113))"
2025-08-31,108269.00,1.0,=D114*(1+C114*(B115/B114-1)),=100*B115/B$4,"=IF(A115<$B$1,0,IF(A114<$B$1,$E$1,F114*(1+C114*(B115/B114-1))))","=IF(A115<$B$1,0,IF(A114<$B$1,$E$1,G114*B115/B114))"
2025-09-30,114065.00,1.0,=D115*(1+C115*(B116/B115-1)),=100*B116/B$4,"=IF(A116<$B$1,0,IF(A115<$B$1,$E$1,F115*(1+C115*(B116/B115-1))))","=IF(A116<$B$1,0,IF(A115<$B$1,$E$1,G115*B116/B115))"
2025-10-31,109554.00,1.0,=D116*(1+C116*(B117/B116-1)),=100*B117/B$4,"=IF(A117<$B$1,0,IF(A116<$B$1,$E$1,F116*(1+C116*(B117/B116-1))))","=IF(A117<$B$1,0,IF(A116<$B$1,$E$1,G116*B117/B116))"
2025-11-30,90382.00,0.5,=D117*(1+C117*(B118/B117-1)),=100*B118/B$4,"=IF(A118<$B$1,0,IF(A117<$B$1,$E$1,F117*(1+C117*(B118/B117-1))))","=IF(A118<$B$1,0,IF(A117<$B$1,$E$1,G117*B118/B117))"
2025-12-31,87496.00,0.5,=D118*(1+C118*(B119/B118-1)),=100*B119/B$4,"=IF(A119<$B$1,0,IF(A118<$B$1,$E$1,F118*(1+C118*(B119/B118-1))))","=IF(A119<$B$1,0,IF(A118<$B$1,$E$1,G118*B119/B118))"
2026-01-31,78635.00,0.5,=D119*(1+C119*(B120/B119-1)),=100*B120/B$4,"=IF(A120<$B$1,0,IF(A119<$B$1,$E$1,F119*(1+C119*(B120/B119-1))))","=IF(A120<$B$1,0,IF(A119<$B$1,$E$1,G119*B120/B119))"
2026-02-28,66985.00,0.5,=D120*(1+C120*(B121/B120-1)),=100*B121/B$4,"=IF(A121<$B$1,0,IF(A120<$B$1,$E$1,F120*(1+C120*(B121/B120-1))))","=IF(A121<$B$1,0,IF(A120<$B$1,$E$1,G120*B121/B120))"
2026-03-31,68215.00,0.5,=D121*(1+C121*(B122/B121-1)),=100*B122/B$4,"=IF(A122<$B$1,0,IF(A121<$B$1,$E$1,F121*(1+C121*(B122/B121-1))))","=IF(A122<$B$1,0,IF(A121<$B$1,$E$1,G121*B122/B121))"
,,,,,,,
=== WHAT-IF projection 2026-05-31 (hystérèse R3 démarrée état BUY) ===,,,,,,,
date,btc_close_hypothetique,return_11m,signal_r1,ratio_prix_fair_pl,signal_r3,position_cible_pct,
2026-05-31,=$H$1,=$H$1/107179.00-1,"=IF(C126>0,""BUY"",""CASH"")",=$H$1/138709.59,"=IF(E126>2.5,""CASH"",""BUY"")","=IF(F126=""CASH"",0,IF(D126=""BUY"",100,50))",
"(référence : prix 2025-06-30 = $107,179, fair_PL 2026-05-31 ≈ $138,710, A = -16.9168)",,,,,,,
